well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.24614E+13,XBC GIDDINGS ESTATE,1019H,PIONEER NATURAL RESOURCES USA INC,UPTON,SPBYL SD,31.50335471,-101.9841956,31.49396642,-101.9846481,4/4/2012,2178,11/12/2012,1678560,2272000,,XBC GIDDINGS ESTATE 1019H,18,1043,1.35,,
4.24614E+13,PEMBROOK X-1,4H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP C,31.45283806,-101.8301311,31.48139958,-101.8387506,7/29/2014,9912,3/2/2015,9600640,10036000,,PEMBROOK X-1 4H,23,1013,1.05,,
4.24614E+13,WILMA (SA) A,3236WB,SM ENERGY CO,UPTON,WCMP B,31.61949982,-102.2090305,31.64086971,-102.2181175,9/11/2014,7635,3/2/2015,17088990,14354000,,WILMA (SA) A 3236WB,53,1880,0.84,,
4.24614E+13,COWDEN17 UNIT,31H,COG OPERATING LLC,UPTON,WCMP B,31.34704444,-102.0255125,31.36077408,-102.0319778,8/1/2014,5043,1/20/2015,8758045,8706000,,COWDEN17 UNIT 31H,41,1726,0.99,,
4.24614E+13,PEGASUS FIELD UNIT 3,4610H,COG OPERATING LLC,UPTON,WCMP B,31.60423056,-102.1560833,31.63115615,-102.164555,1/6/2015,9780,5/17/2015,11423477,15998000,,PEGASUS FIELD UNIT 3 4610H,28,1636,1.4,,
4.24614E+13,PEGASUS FIELD UNIT 3,614H,COG OPERATING LLC,UPTON,WCMP B,31.64967917,-102.1535581,31.66368184,-102.1573315,9/29/2014,4750,3/14/2015,8243649,8024000,,PEGASUS FIELD UNIT 3 614H,41,1689,0.97,255,926
4.24614E+13,PEMBROOK D-29,1H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.42912316,-101.809518,31.4562024,-101.8176218,1/21/2015,9864,5/21/2015,15431263,10916000,,PEMBROOK D-29 1H,37,1107,0.71,,
4.24614E+13,XBC GIDDINGS ESTATE,4096H,PIONEER NATURAL RESOURCES USA INC,UPTON,WOLFCAMP SHALE,31.5081685,-101.9525346,31.48762097,-101.9483287,11/8/2014,7147,3/28/2015,5882764,7622000,,XBC GIDDINGS ESTATE 4096H,20,1066,1.3,,
4.24614E+13,XBC GIDDINGS ESTATE,4098H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP A,31.50821167,-101.9523483,31.48707071,-101.9448836,10/9/2014,7502,4/6/2015,6481321,7428000,,XBC GIDDINGS ESTATE 4098H,21,990,1.15,,
4.24614E+13,XBC GIDDINGS ESTATE,4099H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.50607173,-101.9476756,31.48629589,-101.9429916,10/31/2014,6907,3/16/2015,5921399,7828000,,XBC GIDDINGS ESTATE 4099H,20,1133,1.32,,
