Well_UID,WellPadID
42-317413590000,42-317-41144
42-317413810000,42-317-41328
42-329423410000,42-329-39418
42-235362690000,42-235-36266
42-317413290000,42-317-41331
42-173378770000,42-173-37661
42-173378820000,42-173-36837
42-383401570000,42-383-40159
42-317414240000,42-317-41424
42-383402770000,42-383-40278
42-329424140000,42-329-42414
42-317414000000,42-317-41398
42-173379030000,42-173-37905
42-329425540000,42-329-42549
42-329425620000,42-329-42548
42-329425790000,42-329-42576
42-461408610000,42-461-40864
42-317415060000,42-317-41506
42-329426380000,42-329-42636
42-317415410000,42-317-41542
42-329425210000,42-329-40716
42-227396500000,42-227-39650
42-317416260000,42-317-41624
42-329427390000,42-329-42258
42-461409350000,42-461-40931
42-461409320000,42-461-40931
42-227397340000,42-227-39738
42-329426820000,42-329-42797
42-317417150000,42-317-41719
42-227397570000,42-227-39154
42-317416550000,42-317-41655
42-383403940000,42-383-40395
42-329428890000,42-329-42890
42-461409970000,42-461-40979
42-135436360000,42-135-43635
42-227398610000,42-227-39519
42-461410350000,42-461-41035
42-329429670000,42-329-42968
42-383404720000,42-383-39894
42-317418870000,42-317-40579
42-227399000000,42-227-39898
42-317419500000,42-317-41950
42-317419560000,42-317-41956
42-227399720000,42-227-39973
42-461410620000,42-461-41062
42-317420780000,42-317-42079
42-461411060000,42-461-41106
42-235363950000,42-235-36399
42-329431730000,42-329-43172
42-003480270000,42-003-48016
42-227400860000,42-227-40086
42-317421780000,42-317-42176
42-227400880000,42-227-40088
42-329432350000,42-329-43233
42-329432730000,42-329-42701
42-461411400000,42-461-41138
42-317422370000,42-317-42242
42-173381610000,42-173-38158
42-329433660000,42-329-43716
42-227401590000,42-227-39512
42-461412120000,42-461-41212
42-317422920000,42-317-42292
42-227402010000,42-227-40201
42-317423650000,42-317-42367
42-383406980000,42-383-40697
42-227402710000,42-227-40273
42-317423750000,42-317-41054
42-329435780000,42-329-43574
42-317424550000,42-317-42455
42-317425120000,42-317-42171
42-227403160000,42-227-39206
42-227403690000,42-227-39075
42-227403810000,42-227-40380
42-227403880000,42-227-40350
42-383407540000,42-383-40755
42-317425640000,42-317-42557
42-317426530000,42-317-42651
42-461413500000,42-461-41351
42-329438360000,42-329-43835
42-461413530000,42-461-41352
42-317427540000,42-317-42754
42-227405020000,42-227-40500
