Well_ID,TotalOrganicCarbon_WTPCT
42-383400440000,1.632524135
42-329420230000,2.315774969
42-329420990000,1.369181761
42-227393850000,2.533729494
42-329421480000,1.59602935
42-383400610000,1.816759161
42-227393450000,1.572739
42-329421470000,1.474542017
42-329421620000,1.62134575
42-227394090000,2.570650563
42-383400760000,1.810820445
42-003476970000,1.874912794
42-461407410000,2.42286215
42-235362440000,0.931800297
42-317412700000,2.027503268
42-227394930000,1.921367531
42-329423050000,2.053695659
42-227395230000,2.628204633
42-227395210000,1.0832064
42-383401750000,2.016157761
42-317413280000,1.280637056
42-173378310000,2.386880796
42-317413590000,1.769353403
42-317413810000,1.501075191
42-329423410000,1.4765282
42-317413920000,2.4867904
42-235362690000,2.138882126
42-317413290000,1.954329591
42-173378770000,1.746996745
42-173378820000,2.11986223
42-383401570000,1.956096076
42-317414240000,1.961011524
42-383402770000,2.318662092
42-329424140000,2.121143379
42-317414000000,1.315143853
42-173379030000,2.182758181
42-329425540000,3.30329441
42-329425620000,2.340485727
42-329425790000,1.860745081
42-461408610000,1.80277557
42-227396580000,1.0296581
42-317415060000,1.7709788
42-329426380000,1.905896544
42-317415410000,2.353106184
42-329425210000,1.435659561
42-227396500000,2.271633242
42-317416260000,2.16348014
42-329427390000,1.744449671
42-461409350000,1.692564556
42-461409320000,1.394223589
42-227397340000,1.769518718
42-329426820000,1.5977015
42-317417150000,1.484199786
42-227397570000,2.445185907
42-317416550000,1.175440278
42-383403940000,1.860685229
42-329428890000,2.162069288
42-461409970000,1.4302401
42-135436360000,0.862962162
42-227398610000,1.686103617
42-461410350000,2.01206975
42-329429670000,2.18834577
42-383404720000,1.746967369
42-329429750000,1.112854141
42-317418830000,2.1415873
42-317418870000,1.020864796
42-227399000000,1.541530612
42-317419500000,1.702621504
42-317419560000,1.669028123
42-227399720000,2.269245393
42-461410620000,1.114728206
42-329431010000,1.500312657
42-317420780000,1.846670071
42-461411060000,1.691585543
42-235363950000,1.805028989
42-329431730000,2.007765384
42-003480270000,0.759675337
42-227400860000,1.013372481
42-317421780000,2.009186113
42-227400880000,1.585098486
42-329432350000,1.346473281
42-383405730000,2.1893017
42-329432730000,1.566802886
42-461411400000,0.830519584
42-317422370000,1.64100077
42-173381610000,1.640334839
42-329433660000,1.061220791
42-329433960000,2.6724756
42-227401590000,1.698050409
42-461412120000,1.481961575
42-317422920000,2.173726916
42-227402010000,2.114886229
42-329434860000,1.973550526
42-317423650000,1.738002255
42-383406980000,2.080004536
42-227402710000,1.613152281
42-317423750000,2.251797718
42-329435780000,1.810551427
42-317424550000,2.090488368
42-329436400000,2.3733835
42-317425120000,1.575882219
42-227403160000,1.986650467
42-227403690000,1.929992479
42-227403810000,2.346605959
42-227403880000,0.610211212
42-329437440000,1.900884937
42-383407540000,1.914172791
42-317425640000,1.397057348
42-383407450000,1.92995
42-317426530000,2.446446271
42-461413500000,2.021490048
42-329438360000,1.3624232
42-461413530000,1.737082742
42-173382720000,2.404748948
42-317427540000,1.136918253
42-227405020000,1.598536995
42-317427590000,1.982561175
42-461414020000,1.5807323
42-317427960000,1.768489865
42-105417910000,2.394540547
42-383380900000,1.860960782
42-329401870000,1.482571461
42-227382600000,1.8759092
42-383380860000,2.0135384
42-383396050000,1.95739855
42-105423680000,1.622222139
42-235361780000,1.411812904
42-329416110000,1.626187029
42-383398610000,1.7185031
42-329416730000,1.643679572
42-227391450000,1.147991692
42-383399040000,1.806663735
42-317408740000,1.52180998
42-227391640000,1.423778688
42-173376630000,1.668441567
42-461406340000,1.566047733
42-173376820000,2.102355
42-329418690000,1.851110239
42-383399670000,1.433839771
42-227392340000,1.721716414
42-461406800000,0.452824865
42-317410600000,1.885111888
42-329420410000,2.1769502
42-227393760000,1.877635244
42-329421490000,1.350409833
42-461407420000,2.42864865
42-329422220000,1.624676771
42-227394460000,2.258696235
42-227393990000,1.5807788
42-329422570000,1.583348516
42-383401370000,1.5864154
42-329421050000,1.379159679
42-329422920000,1.6511839
42-227395270000,1.633244718
42-461407870000,1.830686424
42-383401910000,2.12355785
42-383402700000,2.318662092
42-461408770000,1.302665513
42-317414820000,1.94254899
42-235362930000,2.383919877
42-383403250000,2.117546182
42-317415590000,2.074260477
42-329425690000,2.380636533
42-317415750000,2.75793289
42-317416230000,2.00564831
42-461408930000,1.2116928
42-227397220000,2.122907378
42-329427600000,1.393433091
42-235363180000,2.213487145
42-227397290000,1.821181504
42-329428560000,1.879500158
42-317418940000,1.330403454
42-317419020000,1.532061114
42-317419080000,2.078812683
42-329429540000,1.674051111
42-317419410000,1.835092508
42-227399760000,2.471943889
42-329430880000,1.615964783
42-383405490000,1.5975561
42-317421670000,2.5108023
42-033325140000,2.113233486
42-227401330000,1.150856613
42-227401680000,1.616344819
42-329433710000,1.987659
42-227401850000,2.316306752
42-227402100000,1.952211412
42-383406880000,2.009138838
42-329435220000,1.570250025
42-317424110000,1.842417922
42-317424600000,2.082311758
42-227402570000,1.882172943
42-227402600000,2.331228997
42-317424930000,2.079562793
42-135437160000,1.525981518
42-227403050000,1.981112491
42-227403180000,1.809491038
42-329437210000,1.527428587
42-173382200000,1.7993785
42-329437540000,1.547988459
42-105424850000,1.6108838
42-227404090000,1.529875664
42-329438480000,0.691297145
42-317427260000,1.652864088
42-317427480000,1.343417738
42-317405020000,1.66791751
42-329406180000,1.818276824
42-329407460000,1.410295119
42-329410530000,1.9665191
42-329411340000,0.837029749
42-329414180000,1.648086044
42-329408250000,2.031862412
42-329411490000,1.582288
42-329414440000,2.078211179
42-329403640000,2.381725978
42-329403710000,1.871821382
42-329404800000,1.6232175
42-329405500000,1.971066958
42-329408100000,1.423218405
42-329410590000,1.790218035
42-329413630000,1.546931527
42-329414410000,1.436507382
42-383380920000,2.1133952
42-383388840000,1.9223042
42-383377860000,1.551502
42-461401680000,2.520563091
42-461404920000,0.995397647
42-461402120000,2.4130721
42-461402340000,2.282919276
42-461403960000,1.045605417
42-461403300000,1.293017548
42-461405140000,0.827898528
42-105417890000,2.3801344
42-105420100000,1.691927771
42-383393800000,2.24494174
42-235360490000,1.841482394
42-329399080000,1.734839017
42-003432740000,1.16401124
42-329398150000,1.835467444
42-461390070000,1.5487864
42-329404230000,1.710159939
42-383385950000,2.055229368
42-383385500000,1.475483435
42-383391930000,2.108847569
42-383391990000,2.152205
42-173363850000,1.618820541
42-383385000000,2.052853859
42-383379110000,1.970979359
42-461395350000,1.533647194
42-329396450000,2.111969218
42-383387040000,1.903348788
42-227386610000,1.793022818
42-033323930000,2.606243871
42-135434190000,1.111430027
42-135434590000,1.164640157
42-135434030000,1.22304445
42-173373680000,2.1514017
42-173375080000,1.4539311
42-173374790000,2.60256345
42-173375040000,2.319595533
42-317395230000,1.691443967
42-235353390000,1.723261642
42-383375550000,2.023388787
42-105420630000,1.542487346
42-383394180000,1.6726131
42-383393200000,1.75175815
42-227386750000,2.07892705
42-227389680000,1.574971629
42-227389440000,1.388932413
42-235352480000,1.673001147
42-003455330000,1.225652833
42-227386680000,1.693334657
42-383383970000,2.056181353
42-317406690000,2.235799187
42-003473800000,1.996930305
42-461398630000,1.8723418
42-317404680000,2.203167017
42-033324000000,2.603481595
42-105415830000,1.992809794
42-317393460000,2.2687752
42-317392050000,2.354008988
42-235351840000,2.074580735
42-173372390000,1.31270745
42-329407110000,1.55415445
42-329408710000,1.903324292
42-329409110000,1.701138232
42-329412260000,1.3841398
42-317395730000,2.4775083
42-317404950000,1.846227441
42-329405330000,1.983571
42-329406310000,1.779365233
42-329409560000,1.545612543
42-329410200000,1.385262263
42-329410980000,1.394161027
42-329411600000,1.487761009
42-329412570000,1.900321676
42-329414290000,1.7780781
42-383385610000,1.699850469
42-383394240000,1.909313668
42-235350780000,1.5515726
42-003472100000,1.969279814
42-105421950000,2.094782165
42-383395510000,1.548332944
42-173369460000,2.502379006
42-383384910000,1.9079192
42-445323330000,2.05741674
42-383377230000,2.10583048
42-383383220000,2.022252583
42-383373930000,1.654074829
42-235347320000,2.303354082
42-033320600000,1.475222525
42-105416860000,2.167570467
42-383380250000,1.954072
