API_UWI,Unformatted_API_UWI_14,Latitude,Longitude,Latitude_BH,Longitude_BH
42-461-41328,4.24614E+13,31.58674479,-102.165292,31.61488318,-102.1723537
42-317-42632,4.23174E+13,32.143486,-101.784743,32.11551951,-101.7799642
42-227-40406,4.22274E+13,32.515922,-101.6671,32.48872071,-101.6586171
42-461-41354,4.24614E+13,31.605433,-101.788335,31.6273287,-101.7965279
42-227-40420,4.22274E+13,32.45333,-101.310436,32.42526293,-101.311848
42-227-40429,4.22274E+13,32.425701,-101.315637,32.45407389,-101.3156044
42-173-38268,4.21734E+13,31.703485,-101.594728,31.73268368,-101.6049421
42-227-40485,4.22274E+13,32.421453,-101.618626,32.44994109,-101.6275714
42-317-42792,4.23174E+13,32.181998,-102.146516,32.21570744,-102.1586022
42-317-42797,4.23174E+13,32.43855,-102.157949,32.41369118,-102.1503454
42-329-44011,4.23294E+13,31.779839,-102.121779,31.82106803,-102.1360445
42-317-40451,4.23174E+13,32.37441,-101.84048,32.34491998,-101.8308416
42-461-40506,4.24614E+13,31.558608,-101.969231,31.5294527,-101.9586966
42-461-40491,4.24614E+13,31.45493527,-101.9716047,31.43733876,-101.9657894
42-461-40205,4.24614E+13,31.456048,-101.82389,31.483133,-101.8323097
42-461-40304,4.24614E+13,31.626467,-102.240173,31.64941601,-102.2476736
42-173-37296,4.21734E+13,32.038403,-101.752481,32.06025735,-101.7560194
42-317-38448,4.23174E+13,32.26816,-102.151682,32.29102029,-102.1600232
42-235-35334,4.22354E+13,31.122822,-101.005442,31.15279267,-101.0042367
42-317-40176,4.23174E+13,32.1441154,-101.9835606,32.16445898,-101.9901456
42-329-40192,4.23294E+13,31.75088,-101.978085,31.7655155,-101.9819272
42-383-38279,4.23834E+13,31.321393,-101.363998,31.30005748,-101.3654131
42-461-39561,4.24614E+13,31.614305,-102.245778,31.59904342,-102.2378345
42-461-39904,4.24614E+13,31.531162,-102.020179,31.51633836,-102.0163229
42-235-35525,4.22354E+13,31.303549,-101.015567,31.28051748,-101.0152665
42-235-35141,4.22354E+13,31.079815,-101.222839,31.05977319,-101.2200211
42-317-40471,4.23174E+13,32.318471,-102.071608,32.34909084,-102.0799405
42-317-40598,4.23174E+13,32.37231,-102.174557,32.39250709,-102.1813122
42-173-37299,4.21734E+13,32.038382,-101.752575,32.05974521,-101.7582518
42-173-37429,4.21734E+13,31.97906,-101.70955,32.00788849,-101.7198557
42-317-40558,4.23174E+13,32.164088,-102.045897,32.18758952,-102.05184
42-317-42857,4.23174E+13,32.247686,-101.729747,32.21975344,-101.7187665
42-461-41452,4.24614E+13,31.639416,-102.048239,31.67215666,-102.0607854
42-003-48223,4.20035E+13,32.384001,-102.215543,32.3498975,-102.2029758
42-329-44094,4.23294E+13,31.71005,-102.129063,31.68000583,-102.1190941
42-227-40617,4.22274E+13,32.351254,-101.598846,32.32430535,-101.587898
42-329-44095,4.23294E+13,31.851277,-101.811151,31.88579532,-101.8211845
42-329-44192,4.23294E+13,31.969102,-101.811075,31.94305123,-101.8039063
42-317-43032,4.23174E+13,32.260541,-102.207048,32.22972413,-102.1967829
42-317-43047,4.23174E+13,32.092484,-101.777429,32.122295,-101.7864417
42-317-43060,4.23174E+13,32.205867,-102.187663,32.22984806,-102.1960781
42-317-43080,4.23174E+13,32.312624,-102.164006,32.34292963,-102.1735733
42-003-48287,4.20035E+13,32.252701,-102.232134,32.22331212,-102.2243806
42-317-43201,4.23174E+13,32.308891,-101.992891,32.28018543,-101.9816065
42-317-43210,4.23174E+13,32.331924,-102.125339,32.30178445,-102.1148321
42-003-48296,4.20035E+13,32.115145,-102.237994,32.08625258,-102.2331107
42-235-36467,4.22354E+13,31.186273,-101.117219,31.16218336,-101.1150615
42-235-36465,4.22354E+13,31.186259,-101.117332,31.16219929,-101.1201606
42-329-44513,4.23294E+13,32.08378,-101.85352,32.11152411,-101.8619694
42-173-38394,4.21734E+13,31.861063,-101.63546,31.83282176,-101.6307839
42-173-38415,4.21734E+13,31.9292421,-101.6727159,31.9004216,-101.6633494
42-329-44612,4.23294E+13,31.674244,-102.180944,31.64525355,-102.1717795
42-317-43395,4.23174E+13,32.259166,-101.820776,32.22929401,-101.8093696
42-383-40975,4.23834E+13,31.589224,-101.640548,31.61599632,-101.6485684
42-317-40245,4.23174E+13,32.315122,-102.167176,32.29161399,-102.1591798
42-329-40028,4.23294E+13,31.697503,-101.991851,31.67498202,-101.9847642
42-317-40060,4.23174E+13,32.201298,-101.90113,32.22152967,-101.9077508
42-329-40115,4.23294E+13,31.669842,-102.066199,31.64995296,-102.0592497
42-461-39796,4.24614E+13,31.607346,-102.144265,31.63292985,-102.1522543
42-461-39624,4.24614E+13,31.508771,-101.955059,31.52757233,-101.9601908
42-329-43081,4.23294E+13,31.694305,-102.086736,31.71708801,-102.0949823
42-461-41072,4.24614E+13,31.595568,-101.851774,31.61349441,-101.856628
42-173-38079,4.21734E+13,31.804201,-101.62799,31.83139118,-101.6358989
42-461-41091,4.24614E+13,31.619074,-102.221912,31.59071248,-102.2092292
42-383-40532,4.23834E+13,31.375962,-101.402718,31.40617561,-101.4021036
42-317-42084,4.23174E+13,32.393379,-102.0266,32.41538879,-102.0337374
42-227-40037,4.22274E+13,32.380676,-101.324883,32.35171478,-101.3138568
42-227-40050,4.22274E+13,32.413483,-101.638079,32.38341015,-101.6274031
42-317-42054,4.23174E+13,32.110821,-101.804299,32.13843475,-101.8110047
42-329-43204,4.23294E+13,32.005027,-102.25696,31.97569404,-102.2468648
42-329-43237,4.23294E+13,31.803614,-102.142222,31.82866785,-102.1509322
42-383-40561,4.23834E+13,31.551037,-101.355592,31.57902477,-101.3525799
42-173-38145,4.21734E+13,31.971587,-101.74283,32.00060656,-101.75202
42-317-42198,4.23174E+13,32.319222,-102.149395,32.29579826,-102.1404432
42-329-43279,4.23294E+13,31.811079,-102.149722,31.84885568,-102.1608134
42-329-43277,4.23294E+13,31.903592,-102.021046,31.93205438,-102.0297557
42-317-42288,4.23174E+13,32.31917,-101.818816,32.28915563,-101.8111907
42-033-32520,4.20333E+13,32.531165,-101.472324,32.56331067,-101.4814067
42-173-38156,4.21734E+13,31.802941,-101.654294,31.83238764,-101.6645135
42-383-40666,4.23834E+13,31.341229,-101.424036,31.37725816,-101.4216065
42-227-40217,4.22274E+13,32.444744,-101.616182,32.42441359,-101.6089621
42-173-38169,4.21734E+13,31.783218,-101.512552,31.81139015,-101.5236355
42-227-40236,4.22274E+13,32.33959,-101.680495,32.3615975,-101.6881499
42-461-41236,4.24614E+13,31.590438,-102.018213,31.61813368,-102.0266928
42-461-41239,4.24614E+13,31.51344,-102.029666,31.5343945,-102.0334817
42-329-43555,4.23294E+13,32.022674,-101.95343,32.04227856,-101.9619198
42-317-42451,4.23174E+13,32.111078,-101.810309,32.13660799,-101.8190543
42-003-48149,4.20035E+13,32.3851924,-102.2124596,32.350122,-102.2018277
42-383-40736,4.23834E+13,31.542,-101.505269,31.51580387,-101.4932659
42-383-40730,4.23834E+13,31.296269,-101.70777,31.32375993,-101.7103441
42-317-42560,4.23174E+13,32.144077,-101.782024,32.11688927,-101.7737086
42-173-38251,4.21734E+13,32.084657,-101.714226,32.0572034,-101.7055986
42-317-42684,4.23174E+13,32.226481,-101.750245,32.19923393,-101.7425902
42-461-41358,4.24614E+13,31.407484,-101.801647,31.37302235,-101.7930112
42-317-42766,4.23174E+13,32.363426,-102.140785,32.33093809,-102.1275069
42-461-41379,4.24614E+13,31.572882,-101.915894,31.54130788,-101.908036
42-317-42769,4.23174E+13,32.363496,-102.140472,32.33105518,-102.1269675
42-317-42763,4.23174E+13,32.36314,-102.142052,32.33034014,-102.1301683
42-329-43945,4.23294E+13,31.884565,-101.857088,31.91320071,-101.8653729
42-383-40833,4.23834E+13,31.395109,-101.699583,31.37214707,-101.6910824
42-329-43956,4.23294E+13,31.66509,-101.97133,31.63544101,-101.9608203
42-461-41404,4.24614E+13,31.529123,-101.776668,31.55516215,-101.7847286
42-329-43978,4.23294E+13,31.785937,-102.120482,31.81492367,-102.1302392
42-329-43999,4.23294E+13,31.667108,-101.963851,31.63716066,-101.9530963
42-461-40955,4.24614E+13,31.579892,-102.069775,31.60610846,-102.0778402
42-105-41494,4.21054E+13,30.799546,-101.197277,30.82170108,-101.1972173
42-329-44041,4.23294E+13,31.9827366,-102.1813724,32.00451143,-102.188149
42-227-40568,4.22274E+13,32.484199,-101.30075,32.51264139,-101.3001593
42-329-44216,4.23294E+13,31.97446,-102.025769,31.95440584,-102.0170928
42-227-40682,4.22274E+13,32.445865,-101.680006,32.41830646,-101.671909
42-317-43102,4.23174E+13,32.106068,-101.755742,32.13364157,-101.7645593
42-461-41535,4.24614E+13,31.37545,-101.78104,31.40102986,-101.7865008
42-317-43134,4.23174E+13,32.143392,-101.727491,32.11402432,-101.7202333
42-317-43138,4.23174E+13,32.143433,-101.727192,32.11482354,-101.7160146
42-329-44346,4.23294E+13,32.019658,-101.925967,31.99220039,-101.918153
42-317-43203,4.23174E+13,32.308855,-101.993047,32.27987282,-101.9829502
42-329-44444,4.23294E+13,31.801405,-102.08943,31.83051173,-102.0967657
42-329-44466,4.23294E+13,31.973771,-101.812501,31.94405871,-101.7995505
42-461-41590,4.24614E+13,31.374531,-101.84151,31.34738707,-101.833152
42-329-44514,4.23294E+13,32.08352,-101.85343,32.11147738,-101.8631485
42-329-44520,4.23294E+13,32.085363,-101.856769,32.11048306,-101.8665348
42-227-40845,4.22274E+13,32.454719,-101.40102,32.42779034,-101.3938057
42-173-38392,4.21734E+13,31.861086,-101.635253,31.83465974,-101.622305
42-329-44555,4.23294E+13,31.903025,-101.917895,31.92995851,-101.9245672
42-329-44569,4.23294E+13,31.902645,-101.919336,31.92904542,-101.9280259
42-383-40949,4.23834E+13,31.580422,-101.545686,31.55104759,-101.5366605
42-383-40948,4.23834E+13,31.580487,-101.545609,31.55131232,-101.5354096
42-235-35182,4.22354E+13,31.148735,-101.054022,31.17737893,-101.0564262
42-461-38644,4.24614E+13,31.462352,-102.109728,31.47462697,-102.1138332
42-173-37154,4.21734E+13,31.781331,-101.552792,31.80287455,-101.5612197
42-105-41799,4.21054E+13,30.976165,-101.237191,30.99956308,-101.2383761
42-003-47041,4.20035E+13,32.140026,-102.22875,32.15997223,-102.2350043
42-235-35598,4.22354E+13,31.207701,-101.111481,31.23315935,-101.1116214
42-461-38995,4.24614E+13,31.291734,-101.936709,31.30692984,-101.9365807
42-317-38860,4.23174E+13,32.202903,-102.093748,32.18074916,-102.0848334
42-329-39371,4.23294E+13,31.945389,-101.853407,31.92187406,-101.8464432
42-383-38054,4.23834E+13,31.123758,-101.366158,31.10096959,-101.3673207
42-383-38154,4.23834E+13,31.228407,-101.559962,31.25097476,-101.5581032
42-235-35092,4.22354E+13,31.121855,-101.025833,31.08814317,-101.0251676
42-173-37422,4.21734E+13,31.979231,-101.70663,32.00881819,-101.7157507
42-461-39161,4.24614E+13,31.5445,-102.018219,31.55940617,-102.02373
42-329-40457,4.23294E+13,31.851681,-101.932246,31.82441212,-101.9263576
42-329-40924,4.23294E+13,31.655568,-102.199168,31.633082,-102.1903512
