,Latitude,Longitude,BH Latitude,BH Longitude
42-135425210000,31.65990913,-102.3530581,31.67677803,-102.3586273
42-135425550000,31.97749722,-102.3087667,31.99744382,-102.3156054
42-135426670000,31.95795556,-102.2893167,31.97864885,-102.2960076
42-135427120000,31.99458091,-102.291483,31.98082192,-102.2870671
42-135427320000,31.93224621,-102.2957224,31.91919653,-102.2905474
42-135427330000,31.932223,-102.2958153,31.91915532,-102.2907198
42-135427590000,31.75986667,-102.3180417,31.77548614,-102.3230637
42-135427900000,31.78025333,-102.3064492,31.76521178,-102.3017668
42-135428060000,31.70953611,-102.3428694,31.69697498,-102.3387762
42-135428330000,31.76089167,-102.3136639,31.77432925,-102.3178853
42-135428370000,31.660482,-102.3574352,31.66607684,-102.3596643
42-135428600000,31.986949,-102.384821,32.000368,-102.389675
42-135428650000,31.6654116,-102.3470874,31.68824756,-102.3541794
42-135429150000,31.977511,-102.304429,32.00314369,-102.3135345
42-135429160000,31.97176944,-102.3276611,31.97183349,-102.3274568
42-135430440000,31.93204167,-102.2965583,31.90443889,-102.2889444
42-135430450000,31.93207222,-102.2964361,31.90444167,-102.2887222
42-135430500000,31.95811901,-102.2886354,31.97867262,-102.2957989
42-135430510000,31.95814845,-102.2885115,31.97867132,-102.2958085
42-135431730000,31.77935,-102.3113389,31.76427405,-102.3060578
42-135431970000,31.98341389,-102.3931333,32.00001877,-102.398332
42-135432240000,31.8016,-102.3448056,31.81490682,-102.3490358
42-135432410000,32.0028,-102.3147,31.97663777,-102.306459
42-135432570000,31.97221667,-102.3208139,31.95065495,-102.315256
42-135432670000,31.994279,-102.330561,31.97250501,-102.3235919
42-135432950000,31.97143942,-102.3286593,31.9714426,-102.3284642
42-135433220000,31.9558746,-102.2982157,31.97623485,-102.3052292
42-135433270000,31.97337222,-102.3160806,31.95214507,-102.3091684
42-135433780000,31.972972,-102.32474,31.95090791,-102.3177623
42-135433890000,31.95534523,-102.2959769,31.93516719,-102.2882226
42-135433900000,31.95531653,-102.2961012,31.93466347,-102.2902437
42-135433930000,31.95659459,-102.2952047,31.9770577,-102.3016645
42-135434030000,31.99380726,-102.2899611,31.9805664,-102.2892712
42-135434080000,31.92771667,-102.3192778,31.92779219,-102.3189128
42-135434190000,31.9938292,-102.2898681,31.98029026,-102.289249
42-135434200000,31.9938442,-102.2898061,31.98080342,-102.2871352
42-135434210000,31.99398111,-102.2901647,31.98087954,-102.2877501
42-135434510000,31.95720758,-102.2877782,31.93674539,-102.2817266
42-135434520000,31.95723758,-102.287654,31.93713151,-102.2801568
42-135434580000,31.98004601,-102.2966175,32.00803876,-102.3004675
42-135434590000,31.98006045,-102.2965555,32.00809598,-102.3004764
42-135434880000,31.9547835,-102.3027826,31.93353319,-102.2944929
42-135434890000,31.95475322,-102.3029064,31.93327986,-102.2958893
42-135435100000,31.95472378,-102.3030309,31.93372264,-102.294676
42-135435180000,31.95658925,-102.290417,31.93636456,-102.2832624
42-135435190000,31.95655981,-102.2905412,31.93585762,-102.2853481
42-135435240000,32.01071625,-102.2919363,32.02462265,-102.2947236
42-135435320000,31.92765842,-102.3206646,31.948643,-102.325341
42-135435330000,31.92758956,-102.320943,31.955265,-102.329666
42-135435340000,31.927624,-102.320804,31.955247,-102.329749
42-135435730000,31.92695378,-102.323512,31.95473253,-102.3319004
42-135435740000,31.92698808,-102.3233728,31.954745,-102.331844
42-135435780000,32.03674407,-102.3630749,32.01115734,-102.3526189
42-135435790000,31.9263533,-102.3255912,31.954215,-102.333975
42-135435800000,31.926698,-102.324198,31.954241,-102.33388
42-135435850000,31.98001744,-102.2967425,32.00604617,-102.2999132
42-135435860000,31.98000295,-102.2968047,32.00760153,-102.3013403
42-135435870000,31.97997458,-102.2969288,32.006564,-102.3022823
42-135435880000,31.97998875,-102.2968669,32.00733626,-102.3024445
42-135436130000,31.65585278,-102.3319265,31.68136028,-102.3391586
42-135436140000,31.65586667,-102.3318643,31.68128833,-102.339147
42-135436280000,31.95470639,-102.3037267,31.93284347,-102.296429
42-135436290000,31.9546722,-102.3038661,31.93267768,-102.297295
42-135436300000,31.95460389,-102.304145,31.9324018,-102.2982929
42-135436310000,31.9546375,-102.3040086,31.93251347,-102.2976837
42-135436330000,32.05651728,-102.2873647,32.02920423,-102.2759804
42-135436340000,32.05648806,-102.2874891,32.02894868,-102.2770623
42-135436350000,32.05647347,-102.2875514,32.02871952,-102.2780206
42-135436360000,32.05650264,-102.2874269,32.02871563,-102.2780292
42-135436680000,32.03318722,-102.3802129,32.00810498,-102.3722957
42-135436700000,31.990666,-102.31437,31.953793,-102.302831
42-135436710000,31.990697,-102.314246,31.95388,-102.302278
42-135436980000,31.95394444,-102.3069528,31.9178,-102.2960417
42-135436990000,31.95391389,-102.3070778,31.91747222,-102.2977028
42-135437280000,31.74581107,-102.3243406,31.773141,-102.3327483
42-135437290000,31.74575551,-102.3245898,31.77278155,-102.3343483
42-135437300000,31.74578329,-102.3244651,31.77148316,-102.3327758
42-135437440000,31.98988056,-102.3244222,31.95140833,-102.3122639
42-135437670000,31.9312464,-102.3147253,31.9496892,-102.3209792
42-173345380000,31.79689167,-101.3281333,31.79685498,-101.3279833
42-173346680000,31.81084574,-101.4686589,31.82273611,-101.4722235
42-173346940000,31.670985,-101.476956,31.65942776,-101.4738663
42-173348060000,31.70960556,-101.3670361,31.69800834,-101.36339
42-173348200000,31.73842222,-101.3843833,31.75102632,-101.388195
42-173348590000,31.84256028,-101.4526431,31.82997995,-101.448866
42-173349670000,31.86067667,-101.5029514,31.84893525,-101.4993568
42-173350010000,31.82088345,-101.3753326,31.80358457,-101.3685512
42-173350420000,32.0658447,-101.5677694,32.08548048,-101.5740432
42-173350870000,31.8409364,-101.4661306,31.85197378,-101.4698011
42-173351370000,31.98945306,-101.5092789,32.0042866,-101.5144036
42-173351420000,31.68076667,-101.4724667,31.70074243,-101.4787828
42-173351440000,31.67869167,-101.4807111,31.69887079,-101.4870025
42-173351800000,31.7399722,-101.3765794,31.75979156,-101.3827135
42-173351840000,31.65556111,-101.5076167,31.63448333,-101.5008472
42-173351860000,31.7422392,-101.3661528,31.76204013,-101.3724125
42-173353560000,31.65766111,-101.3300972,31.68011381,-101.3295752
